country,iso3c,date,SPI.DIM2.1.INDEX,SPI.DIM2.2.INDEX,SPI.DIM2.4.INDEX,SPI.DIM3.1.INDEX,SPI.DIM3.2.INDEX,SPI.DIM3.3.INDEX,SPI.DIM3.4.INDEX,income,region,population
Guyana,GUY,2017,0.5,0.219,0,0.603833333,0.525833333,0.5835,0.7525,Upper middle income,Latin America & Caribbean,775221
Chad,TCD,2017,0.5,0.046,0,0.6055,0.449833333,0.4445,0.5055,Low income,Sub-Saharan Africa,15016773
Djibouti,DJI,2017,0.5,0.293,0,0.410333333,0.363,0.4445,0.5855,Lower middle income,Middle East & North Africa,944097
Gabon,GAB,2017,0.5,0.212,0,0.402166667,0.414333333,0.389,0.5555,Upper middle income,Sub-Saharan Africa,2064823
Kiribati,KIR,2017,0.5,0.273,0,0.376,0.4845,0.639,0.5555,Lower middle income,East Asia & Pacific,114158
"Micronesia, Fed. Sts.",FSM,2017,0.5,0.223,0,0.430166667,0.448,0.6945,0.3195,Lower middle income,East Asia & Pacific,111459
South Sudan,SSD,2017,0,0.253,0,0.428833333,0.443,0.6945,0.303,Low income,Sub-Saharan Africa,10910759
Libya,LBY,2017,0.5,0.084,0,0.39,0.363833333,0.4445,0.333,Upper middle income,Middle East & North Africa,6580724
Turkmenistan,TKM,2017,0,0.182,0,0.435,0.406833333,0.4445,0.46,Upper middle income,Europe & Central Asia,5757669
Syrian Arab Republic,SYR,2017,0.5,0.171,0,0.325166667,0.423833333,0.4445,0.361,Low income,Middle East & North Africa,17068002
Marshall Islands,MHL,2017,0.5,0.254,0,0.414333333,0.420333333,0.639,0.3885,Upper middle income,East Asia & Pacific,58058
Somalia,SOM,2017,0,0.062,0,0.316833333,0.4255,0.6945,0.293,Low income,Sub-Saharan Africa,14589119
American Samoa,ASM,2017,0,,,0.105666667,0.136166667,0.5835,0.1625,Upper middle income,East Asia & Pacific,55620
Andorra,AND,2017,0,,,0.2485,0.210166667,0.3335,0.3615,High income,Europe & Central Asia,77001
Antigua and Barbuda,ATG,2017,0.5,,0,0.472833333,0.5555,0.639,0.4945,High income,Latin America & Caribbean,95426
Aruba,ABW,2017,0,,,0.1235,0.207333333,0.278,0.264,High income,Latin America & Caribbean,105366
Barbados,BRB,2017,0.5,,0,0.389,0.476833333,0.528,0.5055,High income,Latin America & Caribbean,286233
Bermuda,BMU,2017,0,,,0.151166667,0.144166667,0.278,0.293,High income,North America,63873
British Virgin Islands,VGB,2017,0,,,0.1015,0.175666667,0.278,0.125,High income,Latin America & Caribbean,29577
Brunei Darussalam,BRN,2017,0.5,,0,0.323166667,0.5055,0.3335,0.404,High income,East Asia & Pacific,424473
Cayman Islands,CYM,2017,0,,,0.071166667,0.187833333,0.278,0.293,High income,Latin America & Caribbean,63382
Central African Republic,CAF,2017,0.5,,0,0.444,0.4435,0.6945,0.375,Low income,Sub-Saharan Africa,4596028
Channel Islands,CHI,2017,0,,,,,,,High income,Europe & Central Asia,168665
Comoros,COM,2017,0.5,,0,0.478666667,0.512,0.9445,0.4745,Lower middle income,Sub-Saharan Africa,813892
Cuba,CUB,2017,0,0.298,,0.516333333,0.4395,0.4445,0.5835,Upper middle income,Latin America & Caribbean,11339259
Curacao,CUW,2017,0,,,0.0485,0.219166667,0.278,0.125,High income,Latin America & Caribbean,160175
Dominica,DMA,2017,0.5,,0,0.4255,0.401833333,0.639,0.5855,Upper middle income,Latin America & Caribbean,71458
Equatorial Guinea,GNQ,2017,0,,0,0.382,0.479333333,0.6945,0.389,Upper middle income,Sub-Saharan Africa,1262001
Eritrea,ERI,2017,0,,0,0.409833333,0.392333333,0.4445,0.293,Low income,Sub-Saharan Africa,
Faroe Islands,FRO,2017,0,,,0.061666667,0.066666667,0.278,0.1805,High income,Europe & Central Asia,48331
French Polynesia,PYF,2017,0,,,0.036,0.1545,0.3335,0.182,High income,East Asia & Pacific,276103
Gibraltar,GIB,2017,0,,,0.134833333,0.085166667,0.1665,0.127,High income,Europe & Central Asia,33728
Greenland,GRL,2017,0,,,0.081833333,0.0795,0.3335,0.1325,High income,Europe & Central Asia,56172
Grenada,GRD,2017,0.5,,0,0.443333333,0.387833333,0.4445,0.5855,Upper middle income,Latin America & Caribbean,110874
Guam,GUM,2017,0,,,0.081833333,0.141666667,0.278,0.171,High income,East Asia & Pacific,164281
"Hong Kong SAR, China",HKG,2017,1,0.6,,0.220166667,0.3,0.3335,0.5,High income,East Asia & Pacific,7391700
Isle of Man,IMN,2017,0,,,0.057166667,0.0905,0.1665,0.1825,High income,Europe & Central Asia,83598
"Korea, Dem. People’s Rep.",PRK,2017,0,,,0.452333333,0.394,0.4445,0.3205,Low income,East Asia & Pacific,25429985
Kosovo,XKX,2017,0.5,0.441,0,,,,,Upper middle income,Europe & Central Asia,1791003
Liechtenstein,LIE,2017,0,0.428,,0.173,0.2105,0.3335,0.3615,High income,Europe & Central Asia,37800
"Macao SAR, China",MAC,2017,0.5,0.419,,0.182166667,0.216666667,0.278,0.4445,High income,East Asia & Pacific,622585
Monaco,MCO,2017,0,,,0.205833333,0.215833333,0.472,0.3615,High income,Europe & Central Asia,38392
Nauru,NRU,2017,0,,0,0.319166667,0.394,0.389,0.345,High income,East Asia & Pacific,12876
New Caledonia,NCL,2017,0,,,0.142666667,0.121166667,0.3335,0.1155,High income,East Asia & Pacific,280350
Northern Mariana Islands,MNP,2017,0,,,0.081833333,0.033333333,0.3335,0.107,High income,East Asia & Pacific,56562
Palau,PLW,2017,0.5,,0,0.3335,0.3755,0.389,0.439,High income,East Asia & Pacific,17808
Puerto Rico,PRI,2017,0,,,0.187833333,0.217166667,0.3335,0.282,High income,Latin America & Caribbean,3325286
San Marino,SMR,2017,0.5,,0,0.171833333,0.158,0.222,0.25,High income,Europe & Central Asia,33671
Sint Maarten (Dutch part),SXM,2017,0,,,0.071166667,0.0795,0.278,0.0715,High income,Latin America & Caribbean,40574
St. Kitts and Nevis,KNA,2017,0.5,,0,0.332833333,0.387833333,0.639,0.5555,High income,Latin America & Caribbean,52036
St. Martin (French part),MAF,2017,0,,,0,0.075,0.1665,0.077,High income,Latin America & Caribbean,36560
"Taiwan, China",TWN,2017,,0.463,,,,,,High income,East Asia & Pacific,
Tonga,TON,2017,0.5,,0,0.342,0.429666667,0.6945,0.611,Upper middle income,East Asia & Pacific,101998
Turks and Caicos Islands,TCA,2017,0,,,0.015166667,0.1545,0.278,0.1625,High income,Latin America & Caribbean,37115
Tuvalu,TUV,2017,0.5,,0,0.329333333,0.3755,0.3335,0.293,Upper middle income,East Asia & Pacific,11370
Virgin Islands (U.S.),VIR,2017,0,,,0.0075,0.108333333,0.278,0.077,High income,Latin America & Caribbean,107268
Italy,ITA,2016,1,0.804,1,0.6945,0.712666667,0.9445,0.521,High income,Europe & Central Asia,60627498
United States,USA,2016,1,0.746,1,0.609666667,0.591333333,0.9375,0.5835,High income,North America,322941311
Sweden,SWE,2016,1,0.913,1,0.664833333,0.697833333,0.9445,0.632,High income,Europe & Central Asia,9923085
Austria,AUT,2016,1,0.715,1,0.647,0.709666667,0.9445,0.521,High income,Europe & Central Asia,8736668
Finland,FIN,2016,1,0.77,1,0.6975,0.697833333,0.9375,0.521,High income,Europe & Central Asia,5495303
Australia,AUS,2016,1,0.678,1,0.688,0.659,0.9375,0.5835,High income,East Asia & Pacific,24190907
Slovenia,SVN,2016,1,0.734,1,0.680833333,0.685,0.9445,0.5765,High income,Europe & Central Asia,2065042
Canada,CAN,2016,1,0.853,1,0.619833333,0.637166667,0.4375,0.528,High income,North America,36109487
Spain,ESP,2016,1,0.727,1,0.665666667,0.697833333,0.9375,0.521,High income,Europe & Central Asia,46484062
Switzerland,CHE,2016,1,0.605,1,0.661666667,0.727333333,0.9445,0.639,High income,Europe & Central Asia,8373338
Germany,DEU,2016,1,0.72,1,0.654,0.702833333,0.6945,0.521,High income,Europe & Central Asia,82348669
France,FRA,2016,1,0.501,1,0.704166667,0.697833333,0.9445,0.521,High income,Europe & Central Asia,66724104
Portugal,PRT,2016,1,0.749,1,0.654,0.657166667,0.6875,0.521,High income,Europe & Central Asia,10325452
Ireland,IRL,2016,1,0.678,1,0.64,0.684,0.9445,0.521,High income,Europe & Central Asia,4755335
Latvia,LVA,2016,1,0.742,1,0.585666667,0.6015,0.25,0.514,High income,Europe & Central Asia,1959537
Hungary,HUN,2016,1,0.567,1,0.623166667,0.614833333,0.5835,0.5765,High income,Europe & Central Asia,9814023
Greece,GRC,2016,1,0.498,1,0.637333333,0.641166667,0.6945,0.521,High income,Europe & Central Asia,10775971
Slovak Republic,SVK,2016,1,0.481,1,0.633166667,0.626333333,0.6945,0.5765,High income,Europe & Central Asia,5430798
United Kingdom,GBR,2016,1,0.549,1,0.669833333,0.714833333,0.9445,0.4655,High income,Europe & Central Asia,65611593
Poland,POL,2016,1,0.8,0,0.687333333,0.671833333,0.6945,0.5765,High income,Europe & Central Asia,37970087
Estonia,EST,2016,1,0.785,0,0.713666667,0.655166667,0.5,0.514,High income,Europe & Central Asia,1315790
Turkey,TUR,2016,1,0.428,1,0.758666667,0.813833333,0.9375,0.8265,Upper middle income,Europe & Central Asia,79821724
Mexico,MEX,2016,1,0.797,1,0.845833333,0.761166667,0.9375,0.8265,Upper middle income,Latin America & Caribbean,123333376
Chile,CHL,2016,1,0.431,1,0.801833333,0.716666667,0.9445,0.5905,High income,Latin America & Caribbean,18209068
Armenia,ARM,2016,1,0.534,1,0.778,0.713833333,0.6945,0.882,Upper middle income,Europe & Central Asia,2936146
New Zealand,NZL,2016,1,0.753,1,0.544,0.6055,0.9445,0.5835,High income,East Asia & Pacific,4693200
Norway,NOR,2016,1,0.878,0,0.642,0.696833333,0.6875,0.5835,High income,Europe & Central Asia,5234519
Kyrgyz Republic,KGZ,2016,1,0.518,1,0.790333333,0.590666667,0.9445,0.7155,Lower middle income,Europe & Central Asia,6079500
Lithuania,LTU,2016,1,0.727,0,0.626,0.599666667,0.25,0.514,High income,Europe & Central Asia,2868231
Netherlands,NLD,2016,1,0.85,0,0.662666667,0.642333333,0.625,0.521,High income,Europe & Central Asia,17030314
Czech Republic,CZE,2016,1,0.84,0,0.655,0.709666667,0.9445,0.5765,High income,Europe & Central Asia,10566332
Denmark,DNK,2016,1,0.887,0,0.649833333,0.654166667,0.625,0.521,High income,Europe & Central Asia,5728010
Thailand,THA,2016,1,0.378,1,0.771666667,0.665333333,0.9445,0.882,Upper middle income,East Asia & Pacific,68971331
"Korea, Rep.",KOR,2016,1,0.602,0,0.707666667,0.709833333,0.9445,0.5345,High income,East Asia & Pacific,51217803
South Africa,ZAF,2016,1,0.556,1,0.794833333,0.7245,0.9445,0.771,Upper middle income,Sub-Saharan Africa,56203654
"Egypt, Arab Rep.",EGY,2016,1,0.325,1,0.8485,0.701333333,0.9445,0.7945,Lower middle income,Middle East & North Africa,94447072
Mauritius,MUS,2016,1,0.568,1,0.633333333,0.652333333,0.6945,0.7155,High income,Sub-Saharan Africa,1263473
Japan,JPN,2016,1,0.575,0,0.654333333,0.655,0.9445,0.5835,High income,East Asia & Pacific,126994511
Bulgaria,BGR,2016,1,0.576,0,0.640333333,0.584,0.8335,0.639,Upper middle income,Europe & Central Asia,7127822
Belgium,BEL,2016,1,0.594,0,0.661833333,0.627333333,0.4445,0.521,High income,Europe & Central Asia,11331422
Israel,ISR,2016,1,0.456,1,0.592,0.4875,0.3125,0.639,High income,Middle East & North Africa,8546000
Georgia,GEO,2016,1,0.53,1,0.6585,0.565166667,0.6945,0.8265,Upper middle income,Europe & Central Asia,3727505
Malta,MLT,2016,1,0.429,1,0.520333333,0.433333333,0.25,0.4585,High income,Middle East & North Africa,455356
Philippines,PHL,2016,1,0.382,1,0.704,0.644,0.6945,0.771,Lower middle income,East Asia & Pacific,103663927
Brazil,BRA,2016,1,0.418,1,0.727833333,0.781833333,0.6875,0.771,Upper middle income,Latin America & Caribbean,206163058
Costa Rica,CRI,2016,1,0.164,1,0.735333333,0.668,0.9375,0.771,Upper middle income,Latin America & Caribbean,4899345
Russian Federation,RUS,2016,1,0.502,1,0.560666667,0.513833333,0.5835,0.646,Upper middle income,Europe & Central Asia,144342396
Colombia,COL,2016,1,0.389,1,0.8375,0.745833333,0.9375,0.8265,Upper middle income,Latin America & Caribbean,48175048
Cyprus,CYP,2016,1,0.473,0,0.568,0.522166667,0.5835,0.4585,High income,Europe & Central Asia,1170187
Moldova,MDA,2016,1,0.648,0,0.7365,0.4265,0.4445,0.8195,Lower middle income,Europe & Central Asia,2802170
Sri Lanka,LKA,2016,1,0.438,1,0.732,0.609,0.9445,0.7155,Lower middle income,South Asia,21203000
Kazakhstan,KAZ,2016,1,0.372,0,0.745666667,0.637,0.6945,0.882,Upper middle income,Europe & Central Asia,17794055
Ecuador,ECU,2016,1,0.594,1,0.768666667,0.695833333,0.6875,0.6835,Upper middle income,Latin America & Caribbean,16491115
Iceland,ISL,2016,1,0.487,0,0.5325,0.605666667,0.4375,0.528,High income,Europe & Central Asia,335439
Serbia,SRB,2016,0,0.571,1,0.7975,0.523166667,0.6945,0.7445,Upper middle income,Europe & Central Asia,7058322
Luxembourg,LUX,2016,1,0.472,0,0.572166667,0.58,0.389,0.4655,High income,Europe & Central Asia,582014
Indonesia,IDN,2016,1,0.307,1,0.696166667,0.656833333,0.6945,0.653,Upper middle income,East Asia & Pacific,261554226
Mongolia,MNG,2016,0,0.634,1,0.7795,0.61,0.9445,0.771,Lower middle income,East Asia & Pacific,3056359
India,IND,2016,1,0.572,1,0.635333333,0.645833333,0.4375,0.8265,Lower middle income,South Asia,1324509589
Ukraine,UKR,2016,1,0.317,0,0.708166667,0.579166667,0.9445,0.764,Lower middle income,Europe & Central Asia,45004674
Croatia,HRV,2016,1,0.545,0,0.535666667,0.489666667,0.3335,0.4585,High income,Europe & Central Asia,4174349
Uruguay,URY,2016,1,0.233,1,0.692333333,0.568,0.625,0.639,High income,Latin America & Caribbean,3424132
El Salvador,SLV,2016,1,0.187,1,0.786833333,0.679166667,0.6945,0.882,Lower middle income,Latin America & Caribbean,6356143
Belarus,BLR,2016,1,0.368,0,0.701,0.610166667,0.625,0.764,Upper middle income,Europe & Central Asia,9501534
Uganda,UGA,2016,0,0.365,1,0.752166667,0.6185,0.6875,0.875,Low income,Sub-Saharan Africa,39647506
Peru,PER,2016,1,0.284,1,0.747,0.65,0.6875,0.771,Upper middle income,Latin America & Caribbean,30926032
Albania,ALB,2016,0,0.544,0,0.637333333,0.577666667,0.6945,0.7085,Upper middle income,Europe & Central Asia,2876101
Singapore,SGP,2016,1,0.441,0,0.4145,0.438833333,0.25,0.4655,High income,East Asia & Pacific,5607283
Malaysia,MYS,2016,1,0.387,0,0.725333333,0.668166667,0.9445,0.7085,Upper middle income,East Asia & Pacific,30684804
North Macedonia,MKD,2016,1,0.574,0,0.627333333,0.381833333,0.4445,0.6335,Upper middle income,Europe & Central Asia,2080745
Tanzania,TZA,2016,0,0.254,1,0.739666667,0.675333333,0.9445,0.8195,Lower middle income,Sub-Saharan Africa,53050790
Tunisia,TUN,2016,1,0.487,1,0.695,0.5625,0.6945,0.572,Lower middle income,Middle East & North Africa,11303946
Argentina,ARG,2016,1,0.268,1,0.758666667,0.795833333,0.9445,0.778,Upper middle income,Latin America & Caribbean,43590368
Vietnam,VNM,2016,0,0.367,1,0.649333333,0.518,0.4445,0.5835,Lower middle income,East Asia & Pacific,93638724
Dominican Republic,DOM,2016,0,0.46,1,0.750166667,0.545833333,0.4445,0.9375,Upper middle income,Latin America & Caribbean,10397743
Rwanda,RWA,2016,0,0.681,1,0.725333333,0.6,0.6945,0.628,Low income,Sub-Saharan Africa,11668818
Guatemala,GTM,2016,0,0.264,1,0.7955,0.670833333,0.9445,0.8265,Upper middle income,Latin America & Caribbean,15827690
Jordan,JOR,2016,1,0.403,1,0.659666667,0.572166667,0.6945,0.771,Upper middle income,Middle East & North Africa,9551467
Honduras,HND,2016,0,0.232,1,0.756666667,0.709666667,0.6875,0.882,Lower middle income,Latin America & Caribbean,9270795
Morocco,MAR,2016,1,0.208,1,0.6655,0.508333333,0.6875,0.771,Lower middle income,Middle East & North Africa,35126296
Bolivia,BOL,2016,0,0.388,1,0.789,0.644333333,0.6875,0.6835,Lower middle income,Latin America & Caribbean,11031813
Montenegro,MNE,2016,0,0.341,1,0.638,0.498166667,0.6945,0.689,Upper middle income,Europe & Central Asia,622303
Ghana,GHA,2016,0,0.207,1,0.693,0.631833333,0.6945,0.628,Lower middle income,Sub-Saharan Africa,28481946
Bangladesh,BGD,2016,0,0.291,1,0.749666667,0.6875,0.6945,0.771,Lower middle income,South Asia,157970840
Cambodia,KHM,2016,0,0.204,1,0.763833333,0.6625,0.6945,0.771,Lower middle income,East Asia & Pacific,15766293
Pakistan,PAK,2016,0,0.292,1,0.702166667,0.619,0.6945,0.522,Lower middle income,South Asia,203627284
Kenya,KEN,2016,0,0.496,1,0.7585,0.55,0.6945,0.882,Lower middle income,Sub-Saharan Africa,49051686
Bosnia and Herzegovina,BIH,2016,0,0.322,0,0.623666667,0.559333333,0.4445,0.764,Upper middle income,Europe & Central Asia,3386267
Fiji,FJI,2016,0,0.225,1,0.6235,0.5,0.6945,0.7155,Upper middle income,East Asia & Pacific,872399
Zambia,ZMB,2016,0,0.185,1,0.671833333,0.619333333,0.9445,0.597,Lower middle income,Sub-Saharan Africa,16363507
Paraguay,PRY,2016,0,0.295,1,0.779333333,0.559333333,0.6945,0.771,Upper middle income,Latin America & Caribbean,6777872
Malawi,MWI,2016,0,0.391,1,0.764,0.554833333,0.9445,0.882,Low income,Sub-Saharan Africa,17205289
Azerbaijan,AZE,2016,0,0.412,0,0.676833333,0.513166667,0.4445,0.771,Upper middle income,Europe & Central Asia,9757812
China,CHN,2016,1,0.456,0,0.592166667,0.566666667,0.6945,0.5415,Upper middle income,East Asia & Pacific,1378665000
Niger,NER,2016,0,0.27,1,0.722833333,0.545333333,0.9445,0.6835,Low income,Sub-Saharan Africa,20788838
Senegal,SEN,2016,0,0.375,1,0.633833333,0.584666667,0.6945,0.667,Lower middle income,Sub-Saharan Africa,14993528
Cameroon,CMR,2016,0,0.423,1,0.7245,0.620833333,0.6945,0.8195,Lower middle income,Sub-Saharan Africa,23926539
Samoa,WSM,2016,0,0.332,1,0.589166667,0.477833333,0.6945,0.6595,Upper middle income,East Asia & Pacific,194535
Cabo Verde,CPV,2016,0,0.357,1,0.577166667,0.570333333,0.6945,0.604,Lower middle income,Sub-Saharan Africa,531146
Nigeria,NGA,2016,0,0.377,1,0.595166667,0.482,0.4445,0.6335,Lower middle income,Sub-Saharan Africa,185960289
Togo,TGO,2016,0,0.359,1,0.664333333,0.631166667,0.9445,0.597,Low income,Sub-Saharan Africa,7509952
St. Lucia,LCA,2016,0,0.216,1,0.551833333,0.476333333,0.6945,0.771,Upper middle income,Latin America & Caribbean,180024
United Arab Emirates,ARE,2016,0,0.319,0,0.417666667,0.399333333,0.222,0.403,High income,Middle East & North Africa,9360980
Ethiopia,ETH,2016,0,0.212,1,0.808166667,0.595666667,0.6945,0.7155,Low income,Sub-Saharan Africa,103603501
Jamaica,JAM,2016,0,0.176,0,0.607833333,0.568166667,0.6945,0.771,Upper middle income,Latin America & Caribbean,2906238
Kuwait,KWT,2016,0,0.371,0,0.493,0.493,0.5,0.478,High income,Middle East & North Africa,3956875
Cote d'Ivoire,CIV,2016,0,0.247,1,0.812333333,0.6,0.6945,0.8265,Lower middle income,Sub-Saharan Africa,23822714
Tajikistan,TJK,2016,0,0.378,0,0.612,0.460666667,0.6945,0.572,Low income,Europe & Central Asia,8663579
Burundi,BDI,2016,0,0.331,1,0.678833333,0.628666667,0.9375,0.628,Low income,Sub-Saharan Africa,10487998
Mozambique,MOZ,2016,0,0.265,1,0.6725,0.543,0.6945,0.7225,Low income,Sub-Saharan Africa,27829942
Panama,PAN,2016,0,0.401,0,0.7275,0.645833333,0.6945,0.6945,High income,Latin America & Caribbean,4037078
Qatar,QAT,2016,0,0.279,0,0.4835,0.480666667,0.5,0.478,High income,Middle East & North Africa,2654374
Maldives,MDV,2016,0,0.275,1,0.5585,0.45,0.375,0.5165,Upper middle income,South Asia,475513
Namibia,NAM,2016,0,0.299,1,0.659333333,0.665333333,0.9375,0.764,Upper middle income,Sub-Saharan Africa,2358041
Nepal,NPL,2016,0,0.283,1,0.711166667,0.509166667,0.9445,0.8265,Lower middle income,South Asia,27261131
Burkina Faso,BFA,2016,0,0.261,1,0.649833333,0.594333333,0.9375,0.597,Low income,Sub-Saharan Africa,18646378
Lesotho,LSO,2016,0,0.309,1,0.5125,0.436,0.4445,0.7155,Lower middle income,Sub-Saharan Africa,2075001
Oman,OMN,2016,0,0.51,0,0.531166667,0.371666667,0.3335,0.422,High income,Middle East & North Africa,4479219
Mali,MLI,2016,0,0.468,1,0.613333333,0.574,0.639,0.5555,Low income,Sub-Saharan Africa,17965429
Belize,BLZ,2016,0,0.291,0,0.537666667,0.5555,0.4445,0.771,Upper middle income,Latin America & Caribbean,368400
Bhutan,BTN,2016,0,0.444,1,0.678,0.553666667,0.6945,0.597,Lower middle income,South Asia,736709
Saudi Arabia,SAU,2016,0,0.229,0,0.360166667,0.5215,0.5835,0.333,High income,Middle East & North Africa,32442572
Sao Tome and Principe,STP,2016,0,0.373,1,0.496333333,0.365666667,0.4445,0.7155,Lower middle income,Sub-Saharan Africa,203227
Benin,BEN,2016,0,0.217,1,0.603166667,0.494333333,0.389,0.628,Lower middle income,Sub-Saharan Africa,10872067
Botswana,BWA,2016,0,0.306,1,0.617166667,0.610166667,0.6945,0.604,Upper middle income,Sub-Saharan Africa,2159944
"Iran, Islamic Rep.",IRN,2016,0,0.253,0,0.563666667,0.481833333,0.4445,0.5165,Upper middle income,Middle East & North Africa,79564016
"Venezuela, RB",VEN,2016,0,0.243,1,0.5295,0.527666667,0.6945,0.578,Upper middle income,Latin America & Caribbean,29846179
Nicaragua,NIC,2016,0,0.381,0,0.666333333,0.613833333,0.6875,0.8265,Lower middle income,Latin America & Caribbean,6303974
Sierra Leone,SLE,2016,0,0.269,1,0.630833333,0.489166667,0.6945,0.572,Low income,Sub-Saharan Africa,7328838
Bahrain,BHR,2016,0,0.428,0,0.3925,0.469166667,0.25,0.3165,High income,Middle East & North Africa,1425791
Lao PDR,LAO,2016,0,0.273,1,0.6765,0.440666667,0.6945,0.6595,Lower middle income,East Asia & Pacific,6845846
Liberia,LBR,2016,0,0.373,0,0.660166667,0.529166667,0.6945,0.578,Low income,Sub-Saharan Africa,4586788
Angola,AGO,2016,0,0.23,0,0.675166667,0.65,0.9445,0.7155,Lower middle income,Sub-Saharan Africa,28842484
Myanmar,MMR,2016,0,0.358,0,0.746833333,0.579166667,0.9445,0.8335,Lower middle income,East Asia & Pacific,53045226
"Congo, Rep.",COG,2016,0,0.261,0,0.624333333,0.444666667,0.4445,0.54,Lower middle income,Sub-Saharan Africa,4980999
Zimbabwe,ZWE,2016,0,0.225,0,0.53,0.507333333,0.4445,0.522,Lower middle income,Sub-Saharan Africa,14030390
"Gambia, The",GMB,2016,0,0.152,1,0.684666667,0.528,0.625,0.5165,Low income,Sub-Saharan Africa,2149139
Eswatini,SWZ,2016,0,0.06,0,0.680833333,0.5935,0.9375,0.628,Lower middle income,Sub-Saharan Africa,1113984
Algeria,DZA,2016,0,0.195,0,0.574666667,0.534666667,0.4445,0.739,Lower middle income,Middle East & North Africa,40551404
"Bahamas, The",BHS,2016,0,0.247,0,0.274333333,0.389,0.25,0.4655,High income,Latin America & Caribbean,377931
Guinea,GIN,2016,0,0.413,1,0.591833333,0.437333333,0.6945,0.6835,Low income,Sub-Saharan Africa,11738441
Madagascar,MDG,2016,0,0.033,0,0.6185,0.572166667,0.6945,0.597,Low income,Sub-Saharan Africa,24894380
Uzbekistan,UZB,2016,0,0.123,0,0.465666667,0.476,0.4445,0.597,Lower middle income,Europe & Central Asia,31847900
Iraq,IRQ,2016,0,0.266,0,0.537,0.571166667,0.6945,0.394,Upper middle income,Middle East & North Africa,36610632
"Yemen, Rep.",YEM,2016,0,0.266,0,0.5545,0.476666667,0.4445,0.6335,Low income,Middle East & North Africa,27168210
Vanuatu,VUT,2016,0,0.223,1,0.5,0.426833333,0.6945,0.653,Lower middle income,East Asia & Pacific,278330
Afghanistan,AFG,2016,0,0.202,0,0.571666667,0.487,0.4445,0.764,Low income,South Asia,35383128
Mauritania,MRT,2016,0,0.318,0,0.6305,0.409666667,0.4445,0.578,Lower middle income,Sub-Saharan Africa,4163534
Trinidad and Tobago,TTO,2016,0,0.176,0,0.339666667,0.407,0.5835,0.478,High income,Latin America & Caribbean,1377564
Haiti,HTI,2016,0,0.052,0,0.520166667,0.491,0.4445,0.522,Low income,Latin America & Caribbean,10839970
Suriname,SUR,2016,0,0.406,0,0.42,0.407,0.4375,0.472,Upper middle income,Latin America & Caribbean,564883
Guyana,GUY,2016,0,0.297,0,0.5885,0.468,0.5835,0.739,Upper middle income,Latin America & Caribbean,771366
Sudan,SDN,2016,0,0.417,0,0.604833333,0.502666667,0.9445,0.7085,Low income,Sub-Saharan Africa,39847440
St. Vincent and the Grenadines,VCT,2016,0,0.174,0,0.477666667,0.404166667,0.6945,0.6595,Upper middle income,Latin America & Caribbean,109459
Solomon Islands,SLB,2016,0,0.211,0,0.562166667,0.459166667,0.6875,0.7085,Lower middle income,East Asia & Pacific,619437
Lebanon,LBN,2016,0,0.255,0,0.549666667,0.416666667,0.6945,0.667,Upper middle income,Middle East & North Africa,6711121
Guinea-Bissau,GNB,2016,0,0.364,1,0.472166667,0.387833333,0.375,0.522,Low income,Sub-Saharan Africa,1782437
South Sudan,SSD,2016,0,0.238,1,0.428833333,0.429166667,0.6945,0.2575,Low income,Sub-Saharan Africa,10832512
Chad,TCD,2016,0,0.267,0,0.6055,0.449833333,0.4445,0.478,Low income,Sub-Saharan Africa,14561666
Papua New Guinea,PNG,2016,0,0.12,0,0.396666667,0.457,0.6945,0.522,Lower middle income,East Asia & Pacific,8271760
Djibouti,DJI,2016,0,0.245,0,0.531,0.409666667,0.5835,0.572,Lower middle income,Middle East & North Africa,929112
Libya,LBY,2016,0,0.01,0,0.39,0.35,0.4445,0.2915,Upper middle income,Middle East & North Africa,6492164
Gabon,GAB,2016,0,0.197,0,0.493166667,0.431833333,0.389,0.6595,Upper middle income,Sub-Saharan Africa,2007873
Kiribati,KIR,2016,0,0.238,0,0.376,0.466,0.625,0.5415,Lower middle income,East Asia & Pacific,112524
"Micronesia, Fed. Sts.",FSM,2016,0,0.244,0,0.396833333,0.448,0.6875,0.293,Lower middle income,East Asia & Pacific,110215
Turkmenistan,TKM,2016,0,0.205,0,0.435,0.3755,0.4445,0.478,Upper middle income,Europe & Central Asia,5662372
Marshall Islands,MHL,2016,0,0.194,0,0.351666667,0.401833333,0.625,0.2775,Upper middle income,East Asia & Pacific,57735
American Samoa,ASM,2016,0,,,0.105666667,0.136166667,0.5625,0.1325,Upper middle income,East Asia & Pacific,55741
Andorra,AND,2016,,,,0.2485,0.210166667,0.3335,0.379,High income,Europe & Central Asia,77297
Antigua and Barbuda,ATG,2016,0,,0,0.457666667,0.5655,0.625,0.472,High income,Latin America & Caribbean,94527
Aruba,ABW,2016,0,,,0.138666667,0.188833333,0.25,0.2375,High income,Latin America & Caribbean,104872
Barbados,BRB,2016,0,,0,0.4485,0.493166667,0.5,0.639,High income,Latin America & Caribbean,285796
Bermuda,BMU,2016,0,,,0.166333333,0.172,0.25,0.2475,High income,North America,64554
British Virgin Islands,VGB,2016,0,,,0.1015,0.175666667,0.25,0.091,High income,Latin America & Caribbean,29355
Brunei Darussalam,BRN,2016,0,,0,0.302333333,0.491666667,0.3335,0.372,High income,East Asia & Pacific,419800
